AddressLine1,AddressLine2,AddressLine3,AddressLine4,BusinessName,BusinessType,BusinessTypeID,ChangesByServerID,Distance,FHRSID,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityEmailAddress,LocalAuthorityName,LocalAuthorityWebSite,NewRatingPending,Phone,PostCode,RatingDate,RatingKey,RatingValue,RightToReply,SchemeType,geocode,scores,lon,lat
BASEMENT AND GROUND FLOOR 3 GREEK STREET,,LONDON,,3 Greek Street,Retailers - other,4613,0,0.2445916022664334,413777,01382/0003/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 4NX,2022-06-15T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.131228', 'latitude': '51.5148297'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.131228,51.5148297
31 MARYLEBONE HIGH STREET,,LONDON,,31 Below,Restaurant/Cafe/Canteen,1,0,0.7943939282097063,1728411,N0G3GK-1Y2Z72-B7ZJK9,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1U 4PP,2026-05-05T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1515499', 'latitude': '51.5201696'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1515499,51.5201696
34 GROSVENOR SQUARE,,LONDON,,34,Restaurant/Cafe/Canteen,1,0,0.7210976684431402,1039247,00101/0034/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1K 2HD,2025-04-14T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1525879', 'latitude': '51.5105548'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1525879,51.5105548
40 DUKE STREET,,LONDON,,40 Duke,Restaurant/Cafe/Canteen,1,0,0.6829483143487796,1916453,DQDD2X-1YJZ0S-JMG8MM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1U 1AT,2026-05-08T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1521636', 'latitude': '51.5151382'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1521636,51.5151382
40 GREEK STREET,,LONDON,,40 Greek Street,Restaurant/Cafe/Canteen,1,0,0.2604427105619884,413795,01382/0040/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 4EB,2025-03-22T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1304571', 'latitude': '51.5132437'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1304571,51.5132437
1 LEICESTER PLACE,,LONDON,,404 Club Not Found,Pub/bar/nightclub,7843,0,0.3219252180605459,1866396,R6M9FW-QV9XQV-LZZ2CH,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2H 7BP,2025-09-19T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.130219', 'latitude': '51.5109647'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.130219,51.5109647
41 BUCKINGHAM PALACE ROAD,,LONDON,,41,Hotel/bed & breakfast/guest house,7842,0,1.0997328714929304,412684,00915/0041/0/001,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,SW1W 0PP,2025-03-21T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1434355', 'latitude': '51.4981802'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1434355,51.4981802
,42 Kingsway,,London,42 Holborn,Restaurant/Cafe/Canteen,1,0,0.7726270705956048,1670140,203532,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,WC2B 6EY,2024-01-25T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1189995', 'latitude': '51.5160371'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1189995,51.5160371
45 PARK LANE,,LONDON,,45 Park Lane,Hotel/bed & breakfast/guest house,7842,0,0.8136210928745895,1220998,00585/0045/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1K 1PN,2025-04-30T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.151575', 'latitude': '51.5063842'}","{'Hygiene': 5, 'Structural': 0, 'ConfidenceInManagement': 5}",-0.151575,51.5063842
2-5 HERTFORD STREET,,LONDON,,5 Hertford Street,Pub/bar/nightclub,7843,0,0.6925645010304061,594703,12/00093/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1J 7RW,2026-06-15T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1475896', 'latitude': '51.5062314'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1475896,51.5062314
7 NORTHUMBERLAND AVENUE,,LONDON,,50 Kalo,Restaurant/Cafe/Canteen,1,0,0.6074803531638472,414671,08/00090/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2N 5BY,2021-04-28T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1267294', 'latitude': '51.5071501'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1267294,51.5071501
,64 Goodge Street,,London,64 Goodge Street,Restaurant/Cafe/Canteen,1,0,0.3855493889402046,1640853,203073,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,W1T 4NF,2024-10-15T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1369063', 'latitude': '51.5190746'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1369063,51.5190746
BASEMENT TO THIRD FLOOR 67 PALL MALL,,LONDON,,67 Pall Mall,Restaurant/Cafe/Canteen,1,0,0.5614616815442576,1717022,K3PR1H-ERZSYX-FT8WTE,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,SW1Y 5ES,2025-12-02T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1370185', 'latitude': '51.5053805'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1370185,51.5053805
55 BAKER STREET,,LONDON,,6th Floor The Terrace Kitchen,Other catering premises,7841,0,0.9313427177956762,1775686,DLH75J-EDV3EJ-S7Z4FA,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1U 8EW,2024-12-03T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1563434', 'latitude': '51.5189051'}","{'Hygiene': 5, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1563434,51.5189051
,74 Charlotte Street,,London,74 Charlotte Street By Ben Murphy,Restaurant/Cafe/Canteen,1,0,0.4878691072190594,1873734,206615,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,W1T 4QH,2026-01-27T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.136509001255035', 'latitude': '51.5205612182617'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.136509001255035,51.5205612182617
76 DEAN STREET,,LONDON,,76 Dean Street,Restaurant/Cafe/Canteen,1,0,0.1508387468537013,941360,16/00064/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 3SQ,2025-04-22T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.133053', 'latitude': '51.5139055'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.133053,51.5139055
30 BERNERS STREET,,LONDON,,7th floor cafe,Other catering premises,7841,0,0.3398426134456058,1712449,EE2M5P-QCY9MH-09M3ZM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1T 3LR,2024-04-26T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1371211', 'latitude': '51.5184036'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1371211,51.5184036
86 ST JAMES'S STREET,,LONDON,,86 St James Limited,Other catering premises,7841,0,0.58120250985123,412156,00683/0086/0/001,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,SW1A 1PL,2025-05-29T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1386974', 'latitude': '51.5052003'}","{'Hygiene': 5, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1386974,51.5052003
BASEMENT AND GROUND FLOOR 52 WELLS STREET,,LONDON,,?MÍ,Restaurant/Cafe/Canteen,1,0,0.3691221599140056,1797971,E2Z2E2-NP5NKV-EZWNRQ,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1T 3PR,2026-06-25T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1400341', 'latitude': '51.5183689'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1400341,51.5183689
1 OLD BARRACK YARD,,LONDON,,Abc Kitchens,Restaurant/Cafe/Canteen,1,0,1.113901630602286,1720968,QLB88Z-V1AE1T-63948X,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,SW1X 7NP,2025-12-02T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1548456', 'latitude': '51.5021192'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1548456,51.5021192
,47 Museum Street,,London,Abeno Okonomi-yaki,Restaurant/Cafe/Canteen,1,0,0.5705538930181547,423714,11007,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,WC1A 1LY,2026-04-30T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1249885', 'latitude': '51.5176078'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 5}",-0.1249885,51.5176078
3 BROADWAY,,LONDON,,Abokado,Restaurant/Cafe/Canteen,1,0,1.020329058524863,413182,01082/0003/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,SW1H 0AZ,2025-11-25T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1338136', 'latitude': '51.4988278'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1338136,51.4988278
BASEMENT AND GROUND FLOOR 130 WARDOUR STREET,,LONDON,,Acai Berry,Retailers - other,4613,0,0.1046494829854113,1516058,00688/0130/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1F 8ZN,2024-06-19T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1344765', 'latitude': '51.5143418'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1344765,51.5143418
3 ORCHARD PLACE,WESTMINSTER,LONDON,,Acai Berry St James Park,Retailers - other,4613,0,1.0356947832534835,1643136,RN47ND-B91C7C-95SJ2T,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,SW1H 0BF,2025-03-24T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1328795', 'latitude': '51.4986808'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1328795,51.4986808
GROUND FLOOR 2 GEORGE STREET,,LONDON,,Acai Do Brazil,Takeaway/sandwich shop,7844,0,0.7310088600899738,1432423,21/00831/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1U 3QR,2024-01-24T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1518065', 'latitude': '51.5181053'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 5}",-0.1518065,51.5181053
MOD MAIN BUILDING HORSE GUARDS AVENUE,,LONDON,,Acorn Nursery,School/college/university,7845,0,0.8229536194876179,412399,00804/2001/2/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,SW1A 2HB,2024-01-29T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1248602', 'latitude': '51.504046'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1248602,51.504046
81 PETTY FRANCE,,LONDON,,Adam & Eve,Restaurant/Cafe/Canteen,1,0,0.9745773137587688,427802,00512/0081/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,SW1H 9EX,2024-11-23T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1356342', 'latitude': '51.4994053'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1356342,51.4994053
77A WELLS STREET,,LONDON,,Adam & Eve,Restaurant/Cafe/Canteen,1,0,0.2114901267999978,427765,00276/0077/A/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1T 3QP,2024-05-13T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1374582', 'latitude': '51.5165025'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1374582,51.5165025
17 MAIDEN LANE,,LONDON,,Adam Handling Chocolate Shop,Retailers - other,4613,0,0.6023759612609173,1791337,PZEVZL-XN32F3-PQEJ0T,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2E 7NL,2025-04-03T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1233185', 'latitude': '51.5105488'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1233185,51.5105488
74-78 SEYMOUR PLACE,,LONDON,,Adam Health,Retailers - other,4613,0,1.174884026146764,1366256,21/00255/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1H 2EH,2021-07-27T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1625682', 'latitude': '51.5185981'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1625682,51.5185981
GATTI HOUSE 410 STRAND,,LONDON,,Adelphi Theatre,Restaurant/Cafe/Canteen,1,0,0.632796507142373,414215,01576/0410/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2R 0NR,2024-01-15T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1228015', 'latitude': '51.5101538'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1228015,51.5101538
54 OLD COMPTON STREET,,LONDON,,Admiral Duncan Public House,Restaurant/Cafe/Canteen,1,0,0.1866395470637759,412536,00859/0054/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 4UD,2023-08-23T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1322732', 'latitude': '51.5128859'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1322732,51.5128859
36 MAIDEN LANE,,LONDON,,Adoh,Restaurant/Cafe/Canteen,1,0,0.6065615604106133,1857242,NFWPJ4-RYBHKM-2MS37N,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2E 7LJ,2025-10-14T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1230613', 'latitude': '51.510832'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1230613,51.510832
Greatcroft Centre,Cromer Street,,London,Age UK Camden,Other catering premises,7841,0,1.1736761670147058,424146,20624,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,WC1H 8LF,2022-11-24T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.121532000601292', 'latitude': '51.5277061462402'}","{'Hygiene': 5, 'Structural': 0, 'ConfidenceInManagement': 5}",-0.121532000601292,51.5277061462402
Ground Floor,67 Charlotte Street,,London,AGRODOLCE LONDON,Restaurant/Cafe/Canteen,1,0,0.4412645238547166,1803431,205547,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,W1T 4PH,2025-11-11T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1365128', 'latitude': '51.5198867'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1365128,51.5198867
24 WELLINGTON STREET,,LONDON,,Aguamiel,Restaurant/Cafe/Canteen,1,0,0.7127027356741346,1693254,NYAD8M-82319M-41J39A,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2E 7DD,2024-06-10T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1200853', 'latitude': '51.5120707'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1200853,51.5120707
20 KINGLY STREET,,LONDON,,Ain't Nothin' But,Restaurant/Cafe/Canteen,1,0,0.1352184542826651,412923,00980/0020/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1B 5PZ,2025-04-16T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.139533', 'latitude': '51.5129833'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 5}",-0.139533,51.5129833
County Hall Riverside Building,Westminster Bridge Road,London,,Aji Bakery Cafe,Restaurant/Cafe/Canteen,1,0,1.0454313175086336,1342955,21/00090/COMM,522,foodhealthandsafety@lambeth.gov.uk,Lambeth,http://www.lambeth.gov.uk,False,,SE1 7PB,2026-01-26T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.119264', 'latitude': '51.50283'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.119264,51.50283
1 CAVENDISH SQUARE,,LONDON,,Aki Restaurant,Restaurant/Cafe/Canteen,1,0,0.3686964779222004,1743841,HY77BN-BN0V8B-AVQBZJ,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1G 0LA,2025-10-16T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1437936', 'latitude': '51.5163062'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1437936,51.5163062
21 BERNERS STREET,,LONDON,,Akoko,Restaurant/Cafe/Canteen,1,0,0.3050248204128712,1214662,19/00609/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1T 3LP,2025-11-15T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.136752', 'latitude': '51.5179121'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 5}",-0.136752,51.5179121
11 EDGWARE ROAD,,LONDON,,Al Balad,Restaurant/Cafe/Canteen,1,0,1.084952367388554,427954,00919/0011/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W2 2ER,2025-11-19T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1617184', 'latitude': '51.51402'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1617184,51.51402
60 EDGWARE ROAD,,LONDON,,Al Balad,Restaurant/Cafe/Canteen,1,0,1.10852982937215,1499845,22/00265/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W2 2EH,2024-02-19T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1621843', 'latitude': '51.5148871'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1621843,51.5148871
