AddressLine1,AddressLine2,AddressLine3,AddressLine4,BusinessName,BusinessType,BusinessTypeID,ChangesByServerID,Distance,FHRSID,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityEmailAddress,LocalAuthorityName,LocalAuthorityWebSite,NewRatingPending,Phone,PostCode,RatingDate,RatingKey,RatingValue,RightToReply,SchemeType,geocode,scores,lon,lat
100-106 Queen's Gate,LONDON,,,100 Queen's Gate Hotel,Hotel/bed & breakfast/guest house,7842,0,2.3311497115498896,843822,INSPF/16/180928,520,food.hygiene@rbkc.gov.uk,Kensington and Chelsea,http://www.rbkc.gov.uk,False,,SW7 5AG,2026-06-26T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.179009', 'latitude': '51.492568'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.179009,51.492568
,55,Camberwell Road,London,100% holy cafe,Restaurant/Cafe/Canteen,1,0,2.778827899695535,1579634,199982,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,False,,SE5 0EZ,2024-11-01T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.0938315', 'latitude': '51.4833018'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.0938315,51.4833018
101 WESTBOURNE GROVE,,LONDON,,101 West,Retailers - other,4613,0,2.4426500389804002,1590023,23/00068/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W2 4UW,2025-09-26T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.193249', 'latitude': '51.5151144'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.193249,51.5151144
,103 Parkway,,London,103 PARKWAY,Restaurant/Cafe/Canteen,1,0,1.6664618894494974,1640835,203039,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,NW1 7PP,2024-01-22T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.14581', 'latitude': '51.5369133'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.14581,51.5369133
104 CHEPSTOW ROAD,,LONDON,,104 Restaurant,Restaurant/Cafe/Canteen,1,0,2.588236371573903,1209754,19/00523/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W2 5QS,2023-12-01T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1960861', 'latitude': '51.5188216'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1960861,51.5188216
,10 Argyle Street,,London,10th Floor at The Standard Hotel,Retailers - other,4613,0,1.2157892697368216,1251671,196778,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,WC1H 8EG,2022-06-22T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1245024', 'latitude': '51.5294345'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1245024,51.5294345
8 Bishopsgate,London,,,10th Floor Coffee Bar - CFC,Restaurant/Cafe/Canteen,1,0,2.2861453886298024,1848503,25/00504/COMM,508,publicprotection@cityoflondon.gov.uk,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,False,,EC2N 4BQ,2025-11-26T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.083339', 'latitude': '51.5140299'}","{'Hygiene': 5, 'Structural': 0, 'ConfidenceInManagement': 5}",-0.083339,51.5140299
,111-113 Hampstead Road,,London,113 KTV & KOREAN KITCHEN,Restaurant/Cafe/Canteen,1,0,1.0014189717712534,1784230,205231,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,NW1 3EE,2025-06-24T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1389819', 'latitude': '51.5279114'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1389819,51.5279114
Ground Floor,114 Kensington Church Street,LONDON,,114 KCS Ltd,Retailers - other,4613,0,2.5300260401914567,1636464,INSPF/23/326849,520,food.hygiene@rbkc.gov.uk,Kensington and Chelsea,http://www.rbkc.gov.uk,False,,W8 4BH,2025-02-05T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1943547', 'latitude': '51.5068437'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1943547,51.5068437
12 HAY HILL,,LONDON,,12 Hay Hill,Restaurant/Cafe/Canteen,1,0,0.4365200769884157,1317137,18/00075/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1J 8NR,2025-10-14T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1437663', 'latitude': '51.5090884'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1437663,51.5090884
,5,Stoney Street,London,13 acre orchard,Retailers - other,4613,0,2.0366617057939815,1761580,201909,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,False,,SE1 9AA,2025-02-04T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.091069', 'latitude': '51.505171'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.091069,51.505171
,130 Regent's Park Road,,London,130 Primrose,Restaurant/Cafe/Canteen,1,0,2.079959809947372,1934422,207282,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,NW1 8XL,2026-06-24T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.157236', 'latitude': '51.5406994'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.157236,51.5406994
120 Fenchurch Street,London,,,14 Stories,Restaurant/Cafe/Canteen,1,0,2.4088889265974487,1210870,PI/000033255,508,publicprotection@cityoflondon.gov.uk,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,False,,EC3M 5AL,2026-03-13T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.0805220007896423', 'latitude': '51.5121307373047'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.0805220007896423,51.5121307373047
170 QUEEN'S GATE,,LONDON,,170 Queens Gate,School/college/university,7845,0,2.1208484676562973,1870924,MHG3MK-VEJEZ5-YFVV29,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,SW7 5HF,2025-11-10T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1790583', 'latitude': '51.4979923'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1790583,51.4979923
180 STRAND,,LONDON,,180 Pizza,Restaurant/Cafe/Canteen,1,0,0.9238709005175841,1411839,01576/0180/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2R 1EA,2022-06-16T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1150843', 'latitude': '51.5124221'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 5}",-0.1150843,51.5124221
1930 Coffee Company,3A Lever Street,London,EC1V 3QU,1930 Coffee Company,Restaurant/Cafe/Canteen,1,0,1.8203608121770436,1911706,PI/000300609,519,Commercial.Envh@islington.gov.uk,Islington,http://www.islington.gov.uk,False,,EC1V 3QU,2026-06-30T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.0996545', 'latitude': '51.5264807'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 5}",-0.0996545,51.5264807
1947 Restaurant,38 Middlesex Street,London,,"1947 Restaurant, Bar & Pizza Kitchen",Restaurant/Cafe/Canteen,1,0,2.6359599833051774,1889167,200659,530,foodsafety@towerhamlets.gov.uk,Tower Hamlets,http://www.towerhamlets.gov.uk,False,,E1 7EX,2025-12-02T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.0752981', 'latitude': '51.5157056'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.0752981,51.5157056
,1a Rosebery Avenue,,London,1a Children's Centre,Caring Premises,5,0,1.2415901550137436,426524,9310,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,EC1R 4SR,2024-11-08T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1119254', 'latitude': '51.5229378'}","{'Hygiene': 5, 'Structural': 0, 'ConfidenceInManagement': 5}",-0.1119254,51.5229378
5 ALLINGTON STREET,,LONDON,,1Rebel,Retailers - other,4613,0,1.1592001757109989,1104418,19/00047/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,SW1E 5BX,2025-01-21T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1429411', 'latitude': '51.497209'}","{'Hygiene': None, 'Structural': None, 'ConfidenceInManagement': None}",-0.1429411,51.497209
34 PORCHESTER ROAD,,LONDON,,1Rebel,Retailers - other,4613,0,2.204024928456434,1112323,00214/0034/1/001,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W2 6ES,2024-07-20T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1875248', 'latitude': '51.5165486'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1875248,51.5165486
107 King's Road,LONDON,,,1Rebel,Restaurant/Cafe/Canteen,1,0,2.117730130045865,1849697,INSPF/25/364331,520,food.hygiene@rbkc.gov.uk,Kensington and Chelsea,http://www.rbkc.gov.uk,False,,SW3 4PA,2025-09-03T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.165322', 'latitude': '51.48865'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.165322,51.48865
,15,Hampton Street,London,1st place at the elephant,Caring Premises,5,0,2.1428529954614457,1662830,200794,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,False,,SE17 3AN,2025-03-26T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.101201', 'latitude': '51.491613'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 5}",-0.101201,51.491613
2 CHESHAM HOTEL 2 CHESHAM STREET,,LONDON,,2 Chesham Hotel,Hotel/bed & breakfast/guest house,7842,0,1.4774667027186177,1693245,KJ3C31-5Q8AYX-Y6QKTN,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,SW1X 8DT,2026-03-30T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.15562542', 'latitude': '51.49573682'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 5}",-0.15562542,51.49573682
8-10 WIGMORE STREET,,LONDON,,2 Veneti,Restaurant/Cafe/Canteen,1,0,0.49708298362959596,411269,00283/0008/0/001,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1U 2RD,2026-05-22T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.146726', 'latitude': '51.5168561'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.146726,51.5168561
20 AIR STREET,,LONDON,,20 Air cafe,Other catering premises,7841,0,0.18937711519561273,1791323,HRL6LV-Z132RA-P1K6LN,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1B 5AN,2025-04-29T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.136698', 'latitude': '51.5107621'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.136698,51.5107621
58A Tregunter Road,LONDON,,,20 Minutes Alcohol & Vapes,Retailers - other,4613,0,2.912121136468302,1689319,INSPF/24/336913,520,food.hygiene@rbkc.gov.uk,Kensington and Chelsea,http://www.rbkc.gov.uk,False,,SW10 9HJ,2024-01-12T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1875392', 'latitude': '51.4858072'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1875392,51.4858072
3-5 SUTTON ROW,,LONDON,,21 Soho,Restaurant/Cafe/Canteen,1,0,0.26663608430156477,1361455,21/00242/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 4NR,2024-09-27T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1313476', 'latitude': '51.5156476'}","{'Hygiene': 5, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1313476,51.5156476
21 West Smithfield,London,,,21 West,Restaurant/Cafe/Canteen,1,0,1.5219575397834064,1063318,PI/000032647,508,publicprotection@cityoflondon.gov.uk,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,False,,EC1A 9HY,2025-02-23T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.101784', 'latitude': '51.5178'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.101784,51.5178
23 Paul Street,23-25 Paul Street,London,EC2A 4JU,23 Paul Street,Pub/bar/nightclub,7843,0,2.3264020892026283,740254,PI/000108403,519,Commercial.Envh@islington.gov.uk,Islington,http://www.islington.gov.uk,False,,EC2A 4JU,2024-08-06T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.084644', 'latitude': '51.5231159'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 5}",-0.084644,51.5231159
,253,Tooley Street,London,24 express,Retailers - other,4613,0,2.789186270915197,1150031,194595,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,False,,SE1 2LA,2026-01-06T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.074801', 'latitude': '51.501056'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.074801,51.501056
24 Hour Food and Wine,Basement And Ground Floors,256 Pentonville Road,London,24 Hour Food and Wine,Retailers - other,4613,0,1.4071916487234566,416552,PI/000092029,519,Commercial.Envh@islington.gov.uk,Islington,http://www.islington.gov.uk,False,,N1 9JY,2015-04-28T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1202068', 'latitude': '51.5311643'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1202068,51.5311643
Upmarket,83 Brick Lane,London,,24 Karak,Takeaway/sandwich shop,7844,0,2.810568810611076,1865133,217573,530,foodsafety@towerhamlets.gov.uk,Tower Hamlets,http://www.towerhamlets.gov.uk,False,,E1 6QR,2025-12-20T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.0720541', 'latitude': '51.5203107'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.0720541,51.5203107
,250 Euston Road,,London,250 Euston Road - Medirest,Restaurant/Cafe/Canteen,1,0,0.8463211989801875,1850328,206367,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,NW1 2PG,2025-11-06T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1373839', 'latitude': '51.5257368'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1373839,51.5257368
,1 Neal's Yard,,London,26 Grains,Restaurant/Cafe/Canteen,1,0,0.44308898980383127,779024,83750,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,WC2H 9DP,2026-07-14T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1262892', 'latitude': '51.5143642'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1262892,51.5143642
27 OLD COMPTON STREET,,LONDON,,27 Old Compton Street Pasta Bar,Restaurant/Cafe/Canteen,1,0,0.22140008898514243,1720965,PNHTWX-WQRBW2-CPXCNA,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 5JP,2025-07-01T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1314017', 'latitude': '51.5130519'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1314017,51.5130519
15-17 MARYLEBONE LANE,,LONDON,,28-50 Wine Workshop and Kitchen,Restaurant/Cafe/Canteen,1,0,0.6313060943858614,641285,00513/0015/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1U 2NE,2025-04-24T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1504508', 'latitude': '51.5163484'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1504508,51.5163484
A60 To A61 Fruit And Vegetable Market New Covent Garden Market Nine Elms Lane,,London,Wandsworth,2Juice Limited,Distributors/Transporters,7,0,2.3940824982768913,1856116,PI/000461678,532,foodandsafety@merton.gov.uk,Wandsworth,http://www.wandsworth.gov.uk,False,,SW8 5EE,2026-03-13T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1344409', 'latitude': '51.478874'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1344409,51.478874
,4 Lamb Street,London,,2nigerianboys,Mobile caterer,7846,0,2.6551979338681373,1664553,212714,530,foodsafety@towerhamlets.gov.uk,Tower Hamlets,http://www.towerhamlets.gov.uk,False,,E1 6EA,2025-10-25T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.07567921', 'latitude': '51.52015875'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.07567921,51.52015875
2Northdown,Ground First And Second Floors,2 Northdown Street,London,2Northdown,Pub/bar/nightclub,7843,0,1.4398701868721078,1067102,PI/000278869,519,Commercial.Envh@islington.gov.uk,Islington,http://www.islington.gov.uk,False,,N1 9BG,2018-08-02T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1192045', 'latitude': '51.5313461'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1192045,51.5313461
BASEMENT AND GROUND FLOOR 3 GREEK STREET,,LONDON,,3 Greek Street,Retailers - other,4613,0,0.24459160226643342,413777,01382/0003/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 4NX,2022-06-15T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.131228', 'latitude': '51.5148297'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.131228,51.5148297
12 Harrow Place,London,,,3 Leaf,Restaurant/Cafe/Canteen,1,0,2.5574664423217666,1134946,PI/000034113,508,publicprotection@cityoflondon.gov.uk,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,False,,E1 7DB,2026-05-29T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.0771797', 'latitude': '51.5162042'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.0771797,51.5162042
Arch 14 & 15,Water Lane,,London,3 Locks Brewery,Pub/bar/nightclub,7843,0,1.9975944876931653,1612246,202561,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,NW1 8NZ,2023-04-05T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1432621', 'latitude': '51.542104'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1432621,51.542104
31 MARYLEBONE HIGH STREET,,LONDON,,31 Below,Restaurant/Cafe/Canteen,1,0,0.7943939282097063,1728411,N0G3GK-1Y2Z72-B7ZJK9,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1U 4PP,2026-05-05T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1515499', 'latitude': '51.5201696'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1515499,51.5201696
320 Cale Off Licence & Post Office,Shop,320 Caledonian Road,London,320 Cale Off Licence & Post Office,Retailers - other,4613,0,2.0291098287131653,417333,PI/000145774,519,Commercial.Envh@islington.gov.uk,Islington,http://www.islington.gov.uk,False,,N1 1BB,2017-05-19T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1166497', 'latitude': '51.5401449'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1166497,51.5401449
34 GROSVENOR SQUARE,,LONDON,,34,Restaurant/Cafe/Canteen,1,0,0.7210976684431402,1039247,00101/0034/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1K 2HD,2025-04-14T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1525879', 'latitude': '51.5105548'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1525879,51.5105548
3rd Generation,Ground Floor Front,114 Clerkenwell Road,London,3rd Generation,Restaurant/Cafe/Canteen,1,0,1.4910541427511403,1421960,PI/000290896,519,Commercial.Envh@islington.gov.uk,Islington,http://www.islington.gov.uk,False,,EC1M 5SA,2022-02-04T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1050082', 'latitude': '51.5225385'}","{'Hygiene': 5, 'Structural': 0, 'ConfidenceInManagement': 5}",-0.1050082,51.5225385
40 DUKE STREET,,LONDON,,40 Duke,Restaurant/Cafe/Canteen,1,0,0.6829483143487796,1916453,DQDD2X-1YJZ0S-JMG8MM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1U 1AT,2026-05-08T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1521636', 'latitude': '51.5151382'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1521636,51.5151382
40 GREEK STREET,,LONDON,,40 Greek Street,Restaurant/Cafe/Canteen,1,0,0.2604427105619884,413795,01382/0040/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 4EB,2025-03-22T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1304571', 'latitude': '51.5132437'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1304571,51.5132437
