AddressLine1,AddressLine2,AddressLine3,AddressLine4,BusinessName,BusinessType,BusinessTypeID,ChangesByServerID,Distance,FHRSID,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityEmailAddress,LocalAuthorityName,LocalAuthorityWebSite,NewRatingPending,Phone,PostCode,RatingDate,RatingKey,RatingValue,RightToReply,SchemeType,geocode.longitude,geocode.latitude,scores.Hygiene,scores.Structural,scores.ConfidenceInManagement
27 OLD COMPTON STREET,,LONDON,,27 Old Compton Street Pasta Bar,Restaurant/Cafe/Canteen,1,0,0.12314762384844903,1720965,PNHTWX-WQRBW2-CPXCNA,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 5JP,2025-07-01T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1314017,51.5130519,5.0,5.0,5.0
15-17 MARYLEBONE LANE,,LONDON,,28-50 Wine Workshop and Kitchen,Restaurant/Cafe/Canteen,1,0,0.728901816581241,641285,00513/0015/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1U 2NE,2025-04-24T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1504508,51.5163484,0.0,0.0,0.0
BASEMENT AND GROUND FLOOR 3 GREEK STREET,,LONDON,,3 Greek Street,Retailers - other,4613,0,0.13875414122986715,413777,01382/0003/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 4NX,2022-06-15T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.131228,51.5148297,5.0,5.0,5.0
31 MARYLEBONE HIGH STREET,,LONDON,,31 Below,Restaurant/Cafe/Canteen,1,0,0.8734782418570111,1728411,N0G3GK-1Y2Z72-B7ZJK9,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1U 4PP,2026-05-05T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1515499,51.5201696,0.0,5.0,0.0
34 GROSVENOR SQUARE,,LONDON,,34,Restaurant/Cafe/Canteen,1,0,0.830166951081916,1039247,00101/0034/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1K 2HD,2025-04-14T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1525879,51.5105548,0.0,0.0,0.0
40 DUKE STREET,,LONDON,,40 Duke,Restaurant/Cafe/Canteen,1,0,0.7864397567607945,1916453,DQDD2X-1YJZ0S-JMG8MM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1U 1AT,2026-05-08T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1521636,51.5151382,5.0,5.0,5.0
40 GREEK STREET,,LONDON,,40 Greek Street,Restaurant/Cafe/Canteen,1,0,0.15714171605533117,413795,01382/0040/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 4EB,2025-03-22T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1304571,51.5132437,0.0,5.0,0.0
1 LEICESTER PLACE,,LONDON,,404 Club Not Found,Pub/bar/nightclub,7843,0,0.25466237434026434,1866396,R6M9FW-QV9XQV-LZZ2CH,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2H 7BP,2025-09-19T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.130219,51.5109647,0.0,0.0,0.0
,42 Kingsway,,London,42 Holborn,Restaurant/Cafe/Canteen,1,0,0.6632224883735152,1670140,203532,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,WC2B 6EY,2024-01-25T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1189995,51.5160371,0.0,5.0,0.0
45 PARK LANE,,LONDON,,45 Park Lane,Hotel/bed & breakfast/guest house,7842,0,0.9131400194113152,1220998,00585/0045/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1K 1PN,2025-04-30T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.151575,51.5063842,5.0,0.0,5.0
2-5 HERTFORD STREET,,LONDON,,5 Hertford Street,Pub/bar/nightclub,7843,0,0.784272696875765,594703,12/00093/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1J 7RW,2026-06-15T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1475896,51.5062314,5.0,5.0,5.0
7 NORTHUMBERLAND AVENUE,,LONDON,,50 Kalo,Restaurant/Cafe/Canteen,1,0,0.5558388034087771,414671,08/00090/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2N 5BY,2021-04-28T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1267294,51.5071501,5.0,5.0,5.0
,64 Goodge Street,,London,64 Goodge Street,Restaurant/Cafe/Canteen,1,0,0.3851651900006904,1640853,203073,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,W1T 4NF,2024-10-15T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1369063,51.5190746,0.0,5.0,0.0
BASEMENT TO THIRD FLOOR 67 PALL MALL,,LONDON,,67 Pall Mall,Restaurant/Cafe/Canteen,1,0,0.5961439848942889,1717022,K3PR1H-ERZSYX-FT8WTE,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,SW1Y 5ES,2025-12-02T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1370185,51.5053805,5.0,5.0,5.0
,74 Charlotte Street,,London,74 Charlotte Street By Ben Murphy,Restaurant/Cafe/Canteen,1,0,0.47934321192137536,1873734,206615,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,W1T 4QH,2026-01-27T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.136509001255035,51.5205612182617,0.0,5.0,5.0
76 DEAN STREET,,LONDON,,76 Dean Street,Restaurant/Cafe/Canteen,1,0,0.04134807220961723,941360,16/00064/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 3SQ,2025-04-22T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.133053,51.5139055,0.0,5.0,0.0
30 BERNERS STREET,,LONDON,,7th floor cafe,Other catering premises,7841,0,0.34512795746016367,1712449,EE2M5P-QCY9MH-09M3ZM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1T 3LR,2024-04-26T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1371211,51.5184036,0.0,0.0,0.0
86 ST JAMES'S STREET,,LONDON,,86 St James Limited,Other catering premises,7841,0,0.6276835637488781,412156,00683/0086/0/001,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,SW1A 1PL,2025-05-29T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1386974,51.5052003,5.0,0.0,0.0
BASEMENT AND GROUND FLOOR 52 WELLS STREET,,LONDON,,?MÍ,Restaurant/Cafe/Canteen,1,0,0.4085308265471441,1797971,E2Z2E2-NP5NKV-EZWNRQ,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1T 3PR,2026-06-25T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1400341,51.5183689,5.0,5.0,5.0
,47 Museum Street,,London,Abeno Okonomi-yaki,Restaurant/Cafe/Canteen,1,0,0.4682854002687229,423714,11007,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,WC1A 1LY,2026-04-30T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1249885,51.5176078,0.0,0.0,5.0
BASEMENT AND GROUND FLOOR 130 WARDOUR STREET,,LONDON,,Acai Berry,Retailers - other,4613,0,0.042579494842823605,1516058,00688/0130/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1F 8ZN,2024-06-19T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1344765,51.5143418,0.0,0.0,0.0
GROUND FLOOR 2 GEORGE STREET,,LONDON,,Acai Do Brazil,Takeaway/sandwich shop,7844,0,0.8213371945824071,1432423,21/00831/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1U 3QR,2024-01-24T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1518065,51.5181053,0.0,0.0,5.0
MOD MAIN BUILDING HORSE GUARDS AVENUE,,LONDON,,Acorn Nursery,School/college/university,7845,0,0.7802687956213741,412399,00804/2001/2/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,SW1A 2HB,2024-01-29T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1248602,51.504046,0.0,0.0,0.0
81 PETTY FRANCE,,LONDON,,Adam & Eve,Restaurant/Cafe/Canteen,1,0,0.9971675342175919,427802,00512/0081/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,SW1H 9EX,2024-11-23T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1356342,51.4994053,0.0,5.0,5.0
77A WELLS STREET,,LONDON,,Adam & Eve,Restaurant/Cafe/Canteen,1,0,0.2386111931941226,427765,00276/0077/A/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1T 3QP,2024-05-13T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1374582,51.5165025,0.0,5.0,5.0
17 MAIDEN LANE,,LONDON,,Adam Handling Chocolate Shop,Retailers - other,4613,0,0.5113442268879016,1791337,PZEVZL-XN32F3-PQEJ0T,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2E 7NL,2025-04-03T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1233185,51.5105488,0.0,5.0,5.0
GATTI HOUSE 410 STRAND,,LONDON,,Adelphi Theatre,Restaurant/Cafe/Canteen,1,0,0.5435100918480601,414215,01576/0410/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2R 0NR,2024-01-15T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1228015,51.5101538,0.0,5.0,0.0
54 OLD COMPTON STREET,,LONDON,,Admiral Duncan Public House,Restaurant/Cafe/Canteen,1,0,0.09754961470141878,412536,00859/0054/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 4UD,2023-08-23T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1322732,51.5128859,0.0,0.0,0.0
36 MAIDEN LANE,,LONDON,,Adoh,Restaurant/Cafe/Canteen,1,0,0.5131675853346873,1857242,NFWPJ4-RYBHKM-2MS37N,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2E 7LJ,2025-10-14T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1230613,51.510832,5.0,5.0,5.0
Ground Floor,67 Charlotte Street,,London,AGRODOLCE LONDON,Restaurant/Cafe/Canteen,1,0,0.43410151960858867,1803431,205547,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,W1T 4PH,2025-11-11T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1365128,51.5198867,0.0,0.0,0.0
24 WELLINGTON STREET,,LONDON,,Aguamiel,Restaurant/Cafe/Canteen,1,0,0.6101595356754214,1693254,NYAD8M-82319M-41J39A,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2E 7DD,2024-06-10T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1200853,51.5120707,5.0,5.0,0.0
20 KINGLY STREET,,LONDON,,Ain't Nothin' But,Restaurant/Cafe/Canteen,1,0,0.24453893576757765,412923,00980/0020/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1B 5PZ,2025-04-16T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.139533,51.5129833,0.0,0.0,5.0
County Hall Riverside Building,Westminster Bridge Road,London,,Aji Bakery Cafe,Restaurant/Cafe/Canteen,1,0,0.9880494274832353,1342955,21/00090/COMM,522,foodhealthandsafety@lambeth.gov.uk,Lambeth,http://www.lambeth.gov.uk,False,,SE1 7PB,2026-01-26T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.119264,51.50283,5.0,5.0,5.0
1 CAVENDISH SQUARE,,LONDON,,Aki Restaurant,Restaurant/Cafe/Canteen,1,0,0.45527176194964714,1743841,HY77BN-BN0V8B-AVQBZJ,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1G 0LA,2025-10-16T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1437936,51.5163062,0.0,5.0,0.0
21 BERNERS STREET,,LONDON,,Akoko,Restaurant/Cafe/Canteen,1,0,0.3076736014688955,1214662,19/00609/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1T 3LP,2025-11-15T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.136752,51.5179121,0.0,0.0,5.0
,51 Goodge Street,,London,Al Dente,Restaurant/Cafe/Canteen,1,0,0.37700380003780065,1097438,195019,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,W1T 1TG,2023-02-21T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1360546,51.5191061,5.0,5.0,5.0
31-33 SHEPHERD MARKET,,LONDON,,Al Hamra Restaurant,Restaurant/Cafe/Canteen,1,0,0.763057767023047,411088,00164/0031/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1J 7PT,2023-09-26T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.147123,51.5063679,5.0,0.0,5.0
139 NEW BOND STREET,,LONDON,,Alaia Cafe,Restaurant/Cafe/Canteen,1,0,0.46482060089015215,1822238,ST4VAQ-MEP9VM-J9FXLJ,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1S 2TL,2025-05-14T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1442691,51.5117004,0.0,0.0,0.0
,58-60 Marchmont Street,,,Alara Trading LTD,Restaurant/Cafe/Canteen,1,0,0.8764265217470035,624313,76786,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,WC1N 1AB,2024-07-23T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1250513,51.5251987,0.0,5.0,0.0
20-24 SHAFTESBURY AVENUE,,LONDON,,Albert's Schloss,Restaurant/Cafe/Canteen,1,0,0.203199506564804,1737195,LD5ZNP-DYKGV9-6PW308,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 7EU,2026-01-22T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1335517,51.5108739,5.0,5.0,0.0
,56 Lamb's Conduit Street,,London,Albion Wine Shippers,Retailers - other,4613,0,0.8794631220466474,426508,8992,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,WC1N 3LW,2023-08-31T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1183501,51.5219979,5.0,5.0,5.0
49 ALDWYCH,,LONDON,,Aldwych Theatre,Restaurant/Cafe/Canteen,1,0,0.6528405261261291,412294,00747/0049/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2B 4DF,2024-09-12T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1188621,51.5130763,5.0,5.0,0.0
2-2A DAVIES STREET,,LONDON,,Alfred Dunhill Spa,Restaurant/Cafe/Canteen,1,0,0.6010225714810612,412442,00814/0002/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1K 3DJ,2025-09-29T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1471566,51.5108648,0.0,5.0,0.0
MARCOL HOUSE 289-293 REGENT STREET,,LONDON,,All Bar One,Restaurant/Cafe/Canteen,1,0,0.4216184521915822,413503,01217/0289/1/004,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1B 2HJ,2024-09-24T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1427758,51.5165239,0.0,5.0,0.0
5A PICTON PLACE,,LONDON,,All Bar One,Restaurant/Cafe/Canteen,1,0,0.7543178978698754,411651,00517/0005/A/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1U 1BL,2024-12-13T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.151354,51.5154004,0.0,5.0,5.0
,108 New Oxford Street,,London,All Bar One,Pub/bar/nightclub,7843,0,0.32910773299088203,423807,13188,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,WC1A 1HB,2024-08-20T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.128216996788979,51.5169219970703,0.0,5.0,0.0
6 VILLIERS STREET,,LONDON,,All Bar One,Restaurant/Cafe/Canteen,1,0,0.5692879838248635,411246,00271/0006/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2N 6NQ,2023-08-03T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1242794,51.508208,0.0,5.0,0.0
BASEMENT AND GROUND FLOOR 19 HENRIETTA STREET,,LONDON,,All Bar One,Pub/bar/nightclub,7843,0,0.46985716862151006,411543,00478/0019/3/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2E 8QH,2026-05-14T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1242476,51.5107345,0.0,5.0,5.0
BASEMENT AND GROUND FLOOR 48 LEICESTER SQUARE,,LONDON,,All Bar One,Restaurant/Cafe/Canteen,1,0,0.2838272400241966,412967,00989/0048/1/014,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2H 7LU,2026-06-08T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1307975,51.5102096,5.0,5.0,0.0
44-46 CRANBOURN STREET,,LONDON,,ALL MART,Retailers - other,4613,0,0.28741445671481175,1619572,EYKPY6-3Y7SD6-SKE6B3,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2H 7AN,2023-11-24T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.128946,51.5110793,5.0,5.0,5.0
49-54 FOLEY STREET,,LONDON,,All Souls Primary School,School/college/university,7845,0,0.46230287700391914,410793,00008/0049/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1W 7JJ,2023-12-12T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1386045,51.519848,0.0,0.0,0.0
Victoria House,37-63 Southampton Row,,London,All Star Lanes,Restaurant/Cafe/Canteen,1,0,0.6325264970690347,1214109,197624,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,WC1B 4DA,2024-08-28T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.122126996517181,51.5192070007324,5.0,5.0,5.0
BASEMENT AND GROUND FLOOR 61 OLD COMPTON STREET,,LONDON,,ALL'ANTICO VINAIO,Takeaway/sandwich shop,7844,0,0.10497348001091303,1863938,NVJKE8-HZW5BH-70TVWB,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 6HS,2025-11-26T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1327943,51.5124805,,,
UNIT G9 KINGLY COURT KINGLY COURT,,LONDON,,ALTA Restaurant,Restaurant/Cafe/Canteen,1,0,0.22256954646294033,1802752,JHDRTL-JX0BST-HRBNWM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1B 5PW,2025-10-09T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1387041,51.5124576,0.0,5.0,5.0
ROOFTOP RESTAURANT SELFRIDGES 400 OXFORD STREET,,LONDON,,Alto By San Carlo,Restaurant/Cafe/Canteen,1,0,0.8107793063612285,1048545,18/00108/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1A 1AB,2025-01-13T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1528138,51.5145871,0.0,0.0,0.0
,59 Endell Street,,London,AMALFI LOUNGE,Restaurant/Cafe/Canteen,1,0,0.37187021895948974,1832058,206082,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,WC2H 9AJ,2025-09-25T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1255636,51.5149863,0.0,5.0,0.0
25 ARGYLL STREET,WEST END,LONDON,,Amalfi Restaurant,Restaurant/Cafe/Canteen,1,0,0.31044918376505987,1486576,22/00166/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1F 7TU,2025-10-30T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1410777,51.5146894,0.0,0.0,0.0
GROUND FLOOR HAMMER HOUSE 113 WARDOUR STREET,,LONDON,,Amathus Drinks Soho,Retailers - other,4613,0,0.02828439648337469,1760266,QAE759-T2YQQN-XGS8G2,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1F 0UN,2024-09-30T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.134143,51.513402,0.0,0.0,0.0
HAMMER HOUSE 113-117 WARDOUR STREET,,LONDON,,Amathus Soho,Retailers - other,4613,0,0.03812007449013217,412194,00688/0113/1/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1F 0UN,2021-04-28T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1341461,51.5132574,5.0,5.0,5.0
318 High Holborn,London,,,Amazon Fresh,Retailers - supermarkets/hypermarkets,7840,0,0.9320594666100022,1431180,PI/000037824,508,publicprotection@cityoflondon.gov.uk,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,False,,WC1V 7BN,2023-12-28T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.11346,51.518114,0.0,0.0,0.0
10 BERKELEY SQUARE,,LONDON,,Amazonico Restaurant,Restaurant/Cafe/Canteen,1,0,0.5444560359073919,1274504,00761/0010/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1J 6AA,2025-10-29T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.144687,51.5095758,0.0,5.0,0.0
25-27 HEDDON STREET,,LONDON,,Ambassadors Clubhouse,Restaurant/Cafe/Canteen,1,0,0.31324309382077936,1724880,AS1X2C-GH7SVL-FEDJ36,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1B 4BH,2026-06-12T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1398825,51.5111274,0.0,5.0,5.0
Ambassadors Theatre,West Street,,London,Ambassadors Theatre,Pub/bar/nightclub,7843,0,0.26585182329642176,1670113,203477,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,WC2H 9ND,2025-01-17T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1279602,51.512979,0.0,5.0,0.0
